origin_date,target_date,horizon,model,model_spec,aic,y_true,y_pred,lower_80,upper_80,lower_95,upper_95,coverage_pct_target,absolute_error,squared_error,bias_error,inside_80,inside_95
2018-12-01,2019-03-01,3,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",462.1569707266809,39.16,50.6596,44.0771,57.2421,40.5925,60.7266,96.0,11.4996,132.2401,11.4996,False,False
2018-12-01,2019-06-01,6,naive,,,44.02,49.92,,,,,96.0,5.9,34.81,5.9,,
2018-12-01,2019-06-01,6,seasonal_naive,,,44.02,57.8,,,,,96.0,13.78,189.8884,13.78,,
2018-12-01,2019-06-01,6,ets,,,44.02,50.4516,,,,,96.0,6.4316,41.3657,6.4316,,
2018-12-01,2019-06-01,6,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",462.1569707266809,44.02,49.7155,42.0616,57.3695,38.0099,61.4212,96.0,5.6955,32.4392,5.6955,True,True
2019-03-01,2019-04-01,1,naive,,,41.01,39.16,,,,,96.0,1.85,3.4225,-1.85,,
2019-03-01,2019-04-01,1,seasonal_naive,,,41.01,55.84,,,,,96.0,14.83,219.9289,14.83,,
2019-03-01,2019-04-01,1,ets,,,41.01,40.0164,,,,,96.0,0.9936,0.9872,-0.9936,,
2019-03-01,2019-06-01,3,naive,,,44.02,39.16,,,,,96.0,4.86,23.6196,-4.86,,
2019-03-01,2019-06-01,3,seasonal_naive,,,44.02,57.8,,,,,96.0,13.78,189.8884,13.78,,
2019-03-01,2019-06-01,3,ets,,,44.02,39.3753,,,,,96.0,4.6447,21.5733,-4.6447,,
2019-03-01,2019-09-01,6,naive,,,44.53,39.16,,,,,96.0,5.37,28.8369,-5.37,,
2019-03-01,2019-09-01,6,seasonal_naive,,,44.53,56.07,,,,,96.0,11.54,133.1716,11.54,,
2019-03-01,2019-09-01,6,ets,,,44.53,38.3666,,,,,96.0,6.1634,37.9869,-6.1634,,
2019-06-01,2019-07-01,1,naive,,,43.2,44.02,,,,,96.0,0.82,0.6724,0.82,,
2019-06-01,2019-07-01,1,seasonal_naive,,,43.2,56.31,,,,,96.0,13.11,171.8721,13.11,,
2019-06-01,2019-07-01,1,ets,,,43.2,42.4908,,,,,96.0,0.7092,0.503,-0.7092,,
2019-06-01,2019-09-01,3,naive,,,44.53,44.02,,,,,96.0,0.51,0.2601,-0.51,,
2019-06-01,2019-09-01,3,seasonal_naive,,,44.53,56.07,,,,,96.0,11.54,133.1716,11.54,,
2019-06-01,2019-09-01,3,ets,,,44.53,41.3252,,,,,96.0,3.2048,10.2708,-3.2048,,
2019-06-01,2019-12-01,6,naive,,,45.65,44.02,,,,,96.0,1.63,2.6569,-1.63,,
2019-06-01,2019-12-01,6,seasonal_naive,,,45.65,49.92,,,,,96.0,4.27,18.2329,4.27,,
2019-06-01,2019-12-01,6,ets,,,45.65,40.8186,,,,,96.0,4.8314,23.3424,-4.8314,,
2019-09-01,2019-10-01,1,naive,,,44.92,44.53,,,,,96.0,0.39,0.1521,-0.39,,
2019-09-01,2019-10-01,1,seasonal_naive,,,44.92,53.06,,,,,96.0,8.14,66.2596,8.14,,
2019-09-01,2019-10-01,1,ets,,,44.92,45.2272,,,,,96.0,0.3072,0.0944,0.3072,,
2019-09-01,2019-12-01,3,naive,,,45.65,44.53,,,,,96.0,1.12,1.2544,-1.12,,
2019-09-01,2019-12-01,3,seasonal_naive,,,45.65,49.92,,,,,96.0,4.27,18.2329,4.27,,
2019-09-01,2019-12-01,3,ets,,,45.65,43.5406,,,,,96.0,2.1094,4.4496,-2.1094,,
2019-09-01,2020-03-01,6,naive,,,29.21,44.53,,,,,96.0,15.32,234.7024,15.32,,
2019-09-01,2020-03-01,6,seasonal_naive,,,29.21,39.16,,,,,96.0,9.95,99.0025,9.95,,
2019-09-01,2020-03-01,6,ets,,,29.21,42.0198,,,,,96.0,12.8098,164.0909,12.8098,,
2019-12-01,2020-01-01,1,naive,,,44.32,45.65,,,,,96.0,1.33,1.7689,1.33,,
2019-12-01,2020-01-01,1,seasonal_naive,,,44.32,44.41,,,,,96.0,0.09,0.0081,0.09,,
2019-12-01,2020-01-01,1,ets,,,44.32,42.5084,,,,,96.0,1.8116,3.282,-1.8116,,
2019-12-01,2020-01-01,1,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",524.3574612924552,44.32,40.8774,36.1251,45.6298,33.6093,48.1455,96.0,3.4426,11.8514,-3.4426,True,True
2019-12-01,2020-03-01,3,naive,,,29.21,45.65,,,,,96.0,16.44,270.2736,16.44,,
2019-12-01,2020-03-01,3,seasonal_naive,,,29.21,39.16,,,,,96.0,9.95,99.0025,9.95,,
2019-12-01,2020-03-01,3,ets,,,29.21,43.7424,,,,,96.0,14.5324,211.1896,14.5324,,
2019-12-01,2020-03-01,3,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",524.3574612924552,29.21,40.2128,33.5944,46.8312,30.0908,50.3348,96.0,11.0028,121.0616,11.0028,False,False
2019-12-01,2020-06-01,6,naive,,,35.12,45.65,,,,,96.0,10.53,110.8809,10.53,,
2019-12-01,2020-06-01,6,seasonal_naive,,,35.12,44.02,,,,,96.0,8.9,79.21,8.9,,
2019-12-01,2020-06-01,6,ets,,,35.12,43.3774,,,,,96.0,8.2574,68.1853,8.2574,,
2019-12-01,2020-06-01,6,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",524.3574612924552,35.12,40.4433,32.6587,48.2278,28.5379,52.3487,96.0,5.3233,28.3372,5.3233,True,True
2020-03-01,2020-04-01,1,naive,,,32.0,29.21,,,,,96.0,2.79,7.7841,-2.79,,
2020-03-01,2020-04-01,1,seasonal_naive,,,32.0,41.01,,,,,96.0,9.01,81.1801,9.01,,
2020-03-01,2020-04-01,1,ets,,,32.0,33.6759,,,,,96.0,1.6759,2.8087,1.6759,,
2020-03-01,2020-06-01,3,naive,,,35.12,29.21,,,,,96.0,5.91,34.9281,-5.91,,
2020-03-01,2020-06-01,3,seasonal_naive,,,35.12,44.02,,,,,96.0,8.9,79.21,8.9,,
2020-03-01,2020-06-01,3,ets,,,35.12,33.3999,,,,,96.0,1.7201,2.9589,-1.7201,,
2020-03-01,2020-09-01,6,naive,,,35.8,29.21,,,,,96.0,6.59,43.4281,-6.59,,
2020-03-01,2020-09-01,6,seasonal_naive,,,35.8,44.53,,,,,96.0,8.73,76.2129,8.73,,
2020-03-01,2020-09-01,6,ets,,,35.8,32.5427,,,,,96.0,3.2573,10.6101,-3.2573,,
2020-06-01,2020-07-01,1,naive,,,36.6,35.12,,,,,96.0,1.48,2.1904,-1.48,,
2020-06-01,2020-07-01,1,seasonal_naive,,,36.6,43.2,,,,,96.0,6.6,43.56,6.6,,
2020-06-01,2020-07-01,1,ets,,,36.6,34.1054,,,,,96.0,2.4946,6.2228,-2.4946,,
2020-06-01,2020-09-01,3,naive,,,35.8,35.12,,,,,96.0,0.68,0.4624,-0.68,,
2020-06-01,2020-09-01,3,seasonal_naive,,,35.8,44.53,,,,,96.0,8.73,76.2129,8.73,,
2020-06-01,2020-09-01,3,ets,,,35.8,33.1895,,,,,96.0,2.6105,6.8149,-2.6105,,
2020-06-01,2020-12-01,6,naive,,,42.08,35.12,,,,,96.0,6.96,48.4416,-6.96,,
2020-06-01,2020-12-01,6,seasonal_naive,,,42.08,45.65,,,,,96.0,3.57,12.7449,3.57,,
2020-06-01,2020-12-01,6,ets,,,42.08,32.8448,,,,,96.0,9.2352,85.2886,-9.2352,,
2020-09-01,2020-10-01,1,naive,,,40.38,35.8,,,,,96.0,4.58,20.9764,-4.58,,
2020-09-01,2020-10-01,1,seasonal_naive,,,40.38,44.92,,,,,96.0,4.54,20.6116,4.54,,
2020-09-01,2020-10-01,1,ets,,,40.38,37.2435,,,,,96.0,3.1365,9.8379,-3.1365,,
2020-09-01,2020-12-01,3,naive,,,42.08,35.8,,,,,96.0,6.28,39.4384,-6.28,,
2020-09-01,2020-12-01,3,seasonal_naive,,,42.08,45.65,,,,,96.0,3.57,12.7449,3.57,,
2020-09-01,2020-12-01,3,ets,,,42.08,35.7984,,,,,96.0,6.2816,39.4583,-6.2816,,
2020-09-01,2021-03-01,6,naive,,,41.32,35.8,,,,,96.0,5.52,30.4704,-5.52,,
2020-09-01,2021-03-01,6,seasonal_naive,,,41.32,29.21,,,,,96.0,12.11,146.6521,-12.11,,
2020-09-01,2021-03-01,6,ets,,,41.32,32.9329,,,,,96.0,8.3871,70.3427,-8.3871,,
